run_order,run_id,instance_id,case_id,representation,strategy_id,prompt_key,input_text,model_version,temperature,max_output_tokens,status
1,RUN-001,K03_R1_NL,K03,R1_NL,S3,S3,"The device exposes lock/unlock state and control, remaining battery level.",TO_BE_SELECTED,0,128,PENDING
2,RUN-002,E05_R3_API_TELEMETRY,E05,R3_API_TELEMETRY,S2,S2,"temperature -> number °C
humidity -> number %
battery -> integer 0..100 %",TO_BE_SELECTED,0,128,PENDING
3,RUN-003,K05_R3_API_TELEMETRY,K05,R3_API_TELEMETRY,S1,S1,"get_lock_state() -> locked|unlocked
set_lock_state(locked|unlocked)
door_state -> open|closed
battery -> integer 0..100 %",TO_BE_SELECTED,0,128,PENDING
4,RUN-004,M06_R3_API_TELEMETRY,M06,R3_API_TELEMETRY,S3,S3,"presence -> boolean
motion_state -> none|static|small|large
battery -> integer 0..100 %",TO_BE_SELECTED,0,128,PENDING
5,RUN-005,K01_R3_API_TELEMETRY,K01,R3_API_TELEMETRY,S3,S3,"lock_status -> locked|unlocked
unlock_door(pin)
battery -> integer 0..100 %",TO_BE_SELECTED,0,128,PENDING
6,RUN-006,E06_R1_NL,E06,R1_NL,S1,S1,"The device publishes measured temperature, relative humidity, remaining battery percentage.",TO_BE_SELECTED,0,128,PENDING
7,RUN-007,T05_R2_STRUCTURED,T05,R2_STRUCTURED,S3,S3,"{""properties"":{""local_temperature"":{""type"":""number"",""unit"":""°C"",""read"":true,""write"":false},""occupied_heating_setpoint"":{""type"":""number"",""unit"":""°C"",""read"":true,""write"":true},""system_mode"":{""type"":""enum"",""values"":[""off"",""heat"",""cool"",""auto""],""read"":true,""write"":true},""fan_mode"":{""type"":""enum"",""values"":[""auto"",""low"",""medium"",""high""],""read"":true,""write"":true}}}",TO_BE_SELECTED,0,128,PENDING
8,RUN-008,M04_R1_NL,M04,R1_NL,S3,S3,"The device is documented as smart presence sensor exposing binary occupancy and battery percentage. It exposes an occupancy-style binary signal, battery percentage.",TO_BE_SELECTED,0,128,PENDING
9,RUN-009,L03_R2_STRUCTURED,L03,R2_STRUCTURED,S1,S1,"{""properties"":{""state"":{""type"":""enum"",""values"":[""ON"",""OFF""],""read"":true,""write"":true},""brightness"":{""type"":""integer"",""min"":0,""max"":254,""read"":true,""write"":true},""color_xy"":{""type"":""object"",""fields"":[""x"",""y""],""read"":true,""write"":true}}}",TO_BE_SELECTED,0,128,PENDING
10,RUN-010,P04_R3_API_TELEMETRY,P04,R3_API_TELEMETRY,S3,S3,"get_state() -> ON|OFF
set_state(ON|OFF)
power -> number W
energy -> number kWh",TO_BE_SELECTED,0,128,PENDING
